time,ax,ay,az,atotal
7.4834160804748535,-1.05,0.25,0.17,1.09
7.493916034698486,-0.98,0.13,0.1,0.99
7.504178047180176,-0.88,0.05,0.09,0.88
7.513066053390503,-0.84,0.02,0.09,0.84
7.523890972137451,-0.83,-0.03,0.06,0.83
7.533273220062256,-0.76,-0.09,-0.06,0.76
7.543385028839111,-0.68,-0.22,-0.05,0.71
7.553439140319824,-0.58,-0.36,-0.01,0.68
7.5630950927734375,-0.46,-0.5,0.06,0.68
7.5747971534729,-0.41,-0.77,0.21,0.89
7.583072185516357,-0.33,-1.04,0.19,1.1
7.593168020248413,-0.27,-1.28,0.3,1.34
7.603327035903931,-0.32,-1.54,0.39,1.62
7.612921237945557,-0.3,-1.73,0.36,1.79
7.624279975891113,-0.22,-1.87,0.33,1.91
7.632997035980225,-0.12,-1.99,0.3,2.01
7.643094062805176,0.0,-2.04,0.22,2.05
7.653509140014648,0.04,-2.05,0.13,2.05
7.662875175476074,0.08,-2.03,0.08,2.03
7.67476224899292,0.12,-2.04,0.04,2.04
7.682755947113037,0.28,-2.1,0.11,2.12
7.692899227142334,0.19,-2.13,0.23,2.15
7.70306921005249,0.3,-2.1,0.21,2.13
7.712653160095215,0.42,-2.17,0.19,2.21
7.723923206329346,0.51,-2.26,0.21,2.32
7.732399940490723,0.55,-2.25,0.21,2.32
7.742699146270752,0.54,-2.2,0.2,2.27
7.752677917480469,0.6,-2.2,0.16,2.28
7.76242208480835,0.55,-2.18,0.09,2.25
7.77348518371582,0.56,-2.19,-0.01,2.26
7.7823262214660645,0.53,-2.2,-0.08,2.26
7.792548179626465,0.48,-2.19,-0.16,2.24
7.802659034729004,0.5,-2.21,-0.2,2.27
7.81235408782959,0.49,-2.24,-0.27,2.3
7.823498249053955,0.53,-2.26,-0.35,2.34
7.832156181335449,0.44,-2.21,-0.39,2.28
7.842442035675049,0.43,-2.12,-0.48,2.21
7.853332996368408,0.36,-1.99,-0.55,2.09
7.862244129180908,0.32,-1.8,-0.61,1.92
7.873833179473877,0.35,-1.65,-0.68,1.81
7.881859064102173,0.37,-1.51,-0.74,1.72
7.892354965209961,0.38,-1.34,-0.71,1.56
7.903203964233398,0.39,-1.28,-0.57,1.45
7.912003040313721,0.35,-1.22,-0.51,1.36
7.923460960388184,0.3,-1.15,-0.37,1.24
7.93196702003479,0.24,-1.2,-0.27,1.25
7.942142963409424,0.15,-1.22,-0.2,1.24
7.952737092971802,0.07,-1.16,-0.18,1.17
7.961921215057373,0.02,-1.06,-0.2,1.07
7.973505020141602,0.05,-1.02,-0.24,1.04
7.981918096542358,0.04,-0.96,-0.27,0.99
7.991873025894165,0.03,-0.85,-0.31,0.9
8.002604007720947,0.0,-0.78,-0.35,0.85
8.011678218841553,-0.03,-0.74,-0.39,0.83
8.023465156555176,-0.05,-0.73,-0.43,0.84
8.031782150268555,0.01,-0.74,-0.44,0.86
8.041553020477295,-0.04,-0.74,-0.52,0.9
8.053092002868652,-0.05,-0.71,-0.49,0.86
8.061592102050781,-0.1,-0.76,-0.43,0.87
8.073915958404541,-0.1,-0.76,-0.38,0.85
8.081157207489014,-0.09,-0.72,-0.36,0.81
8.091733932495117,-0.03,-0.66,-0.34,0.74
8.103079080581665,0.05,-0.61,-0.32,0.69
8.111430168151855,0.11,-0.48,-0.25,0.55
8.124032974243164,0.16,-0.34,-0.15,0.4
8.130985021591187,0.27,-0.26,-0.05,0.37
8.141509056091309,0.36,-0.17,0.04,0.4
8.152553081512451,0.42,-0.17,0.06,0.45
8.161436080932617,0.39,-0.13,0.05,0.41
8.173869132995605,0.36,-0.1,0.09,0.38
8.180829048156738,0.25,-0.12,0.14,0.31
8.191249132156372,0.17,-0.2,0.18,0.31
8.202307224273682,0.12,-0.23,0.15,0.29
8.211146116256714,-0.03,-0.2,0.09,0.22
8.224822044372559,-0.17,-0.19,0.07,0.26
8.230999946594238,-0.26,-0.15,0.03,0.3
8.241175174713135,-0.32,-0.14,0.01,0.34
8.25353717803955,-0.37,-0.11,-0.01,0.38
8.261538028717041,-0.39,-0.12,-0.07,0.41
8.277081966400146,-0.42,-0.11,-0.07,0.43
8.280999183654785,-0.44,-0.07,-0.05,0.44
8.290875911712646,-0.44,0.01,0.01,0.44
8.302914142608643,-0.39,0.05,0.07,0.39
8.310837030410767,-0.37,0.07,0.11,0.39
8.324238061904907,-0.34,0.08,0.12,0.36
8.330310106277466,-0.28,0.13,0.14,0.33
8.340704917907715,-0.24,0.14,0.14,0.31
8.35322093963623,-0.23,0.14,0.12,0.29
8.360633134841919,-0.22,0.17,0.1,0.29
8.375072002410889,-0.23,0.14,0.04,0.27
8.380281925201416,-0.17,0.16,-0.02,0.23
8.390669107437134,-0.12,0.19,-0.1,0.24
8.402736186981201,-0.11,0.21,-0.1,0.25
8.410502910614014,-0.12,0.26,-0.09,0.3
8.424461126327515,-0.1,0.29,-0.12,0.32
8.430394172668457,-0.08,0.24,-0.08,0.26
8.440592050552368,-0.1,0.25,-0.04,0.27
8.451144218444824,-0.11,0.29,-0.05,0.31
8.464043140411377,-0.13,0.3,0.0,0.32
8.469998121261597,-0.16,0.32,0.03,0.35
8.480463027954102,-0.2,0.31,0.02,0.36
8.490265130996704,-0.29,0.3,0.02,0.41
8.500975131988525,-0.39,0.29,0.05,0.48
8.514543056488037,-0.5,0.23,0.1,0.55
8.520109176635742,-0.6,0.18,0.19,0.65
8.530051231384277,-0.9,-0.03,0.09,0.9
8.540358066558838,-1.02,-0.27,-0.19,1.07
8.55062198638916,-1.28,0.02,-0.68,1.44
8.56311321258545,-1.63,-0.02,-2.07,2.63
8.569823026657104,-1.23,-0.05,-0.79,1.46
8.580081939697266,-1.01,0.6,0.82,1.43
8.589867115020752,-1.14,0.69,0.82,1.56
8.600656032562256,-1.12,0.46,0.98,1.55
8.61302900314331,-1.01,0.22,1.15,1.54
8.6198570728302,-1.06,0.08,0.89,1.38
8.62979006767273,-1.15,0.12,0.54,1.27
